"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-21-1-2020991180B2MISCARA-CSFSTRAT","Marist Brothers Hygiene kits and Covid-19 prev the Marist school communities Haiti","Ireland - Department of Foreign Affairs","17,793","17,793","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991180B2MISCARA-CSFSTRAT",4
"XM-DAC-21-1-2020990057B3HUMNGO-EME1HQ001","HQHUM 2020 HPP HAITI","Ireland - Department of Foreign Affairs","320,507","320,507","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020990057B3HUMNGO-EME1HQ001",4
"XI-IATI-EC_ECHO-ECHO/-AM/BUD/2018/91024","Enhancing humanitarian coordination through effective disaster preparedness and response, information management, and advocacy in Haiti.","European Commission - Humanitarian Aid & Civil Protection","341,530","700,845","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_ECHO-ECHO%2F-AM%2FBUD%2F2018%2F91024",3
"XI-IATI-UNPF-00080492","UNDG/HRF-9 Prod Lait","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00080492",3
"XI-IATI-21032-4288HT","Project Ignite Haiti: Global Partnership in the Field of SRHR","Population Services International","2,252,969","2,252,969","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-21032-4288HT",2
"XI-IATI-UNPF-00082555","UNDG/HRF-1 GestiondesDébris II","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00082555",3
"XI-IATI-UNPF-00097553","UNDG/HRF-10 Appui au Cycle Éle","UN Pooled Funds","990,000","990,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00097553",3
"XI-IATI-UNPF-00099990","UNDG/HRF-11 Seed Production","UN Pooled Funds","693,000","693,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00099990",3
"XI-IATI-UNPF-00099991","UNDG/HRF-12 Dairy Production","UN Pooled Funds","1,287,000","1,287,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00099991",3
"XM-DAC-21-1-2020991433B2MISCARA-CSFSTRAT","Viatores Christi Health personnel development i otherapy, special needs educat ion, speech &amp; language therapy , and physical education in th e project","Ireland - Department of Foreign Affairs","84,817","84,817","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991433B2MISCARA-CSFSTRAT",4
"XI-IATI-UNPF-00102176","UNDG/HRF-13 Vocational Trainin","UN Pooled Funds","16,830,000","16,830,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00102176",3
"FI-3-2020-2010999969","Support through UNDPKO","Finland - Ministry for Foreign Affairs","1,047","1,047","USD","https://d-portal.org/ctrack.html#view=act&aid=FI-3-2020-2010999969",2
"FI-3-2020-2018181479","F.a: Climate change - a challenge for the future of Haitian farmers","Finland - Ministry for Foreign Affairs","76,643","76,643","USD","https://d-portal.org/ctrack.html#view=act&aid=FI-3-2020-2018181479",2
"FR-6-HT-HTI-20-03","FSPI n° 2020-36 - Karayib Klima - 209HTI0089","France - Ministry for Europe and Foreign Affairs","413,629","358,556","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-20-03",2
"FR-6-HT-HTI-18-05","Appui à la PNH et à la DPC - 209HTI0080","France - Ministry for Europe and Foreign Affairs","16,238","14,076","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-18-05",3
"CH-4-2007004356","World Bank Global Facility for Disaster","Switzerland - Swiss Agency for Development and Cooperation (SDC)","-15,747","-15,747","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2007004356",2
"FR-6-HT-HTI-17-01","Coopération universitaire et formation des élites - Soutien à l'enseignement supérieur et à la recherche - 185HTI0164","France - Ministry for Europe and Foreign Affairs","76,463","66,282","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-HTI-17-01",2
"XM-OCHA-CERF-20-UF-FPA-015","Préserver la vie et la dignité des femmes, des filles et des communautés en améliorant l’accès aux services de santé sexuelle et reproductive, y compris la prévention et réponse aux violences basées sur le genre","United Nations Central Emergency Response Fund (CERF)","1,699,396","1,699,396","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-OCHA-CERF-20-UF-FPA-015",4
"CH-4-2003006793","Programme de préservation et de valorisation de la biodiversité PVB","Switzerland - Swiss Agency for Development and Cooperation (SDC)","180,308","180,308","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2003006793",2
"CH-4-2020002212","Crédit global pour petites actions","Switzerland - Swiss Agency for Development and Cooperation (SDC)","10,264","10,264","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2020002212",2
"GB-GOV-13-OODA-BBSRC-F3EH9GX-S62UM2P-FXDENXR","Phosphorus cycling in the soil-microbe-plant continuum of agri-ecosystems","UK - Department for Business, Energy and Industrial Strategy (BEIS)","140,951","117,871","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-13-OODA-BBSRC-F3EH9GX-S62UM2P-FXDENXR",4
"CH-4-2003006795","Programme de préservation et de valorisation de la biodiversité PVB","Switzerland - Swiss Agency for Development and Cooperation (SDC)","57,943","57,943","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2003006795",2
"FR-6-HT-DBM-20-06","Aide Alimentaire programmée 2020 - 1ère tranche - 209DBM1153","France - Ministry for Europe and Foreign Affairs","1,216,556","1,054,578","USD","https://d-portal.org/ctrack.html#view=act&aid=FR-6-HT-DBM-20-06",2
